🔒 Row ID,name,category,address,coordinates,phone­_number,yandex_map_link,gasoline,ai-80,ai-91,ai-92,ai-95,ai-98,diesel,working_hours,wc,wifi,shop,cafe,parking,car_wash,tire_service,created_by_email,created_by_name,creation_date,gas,methane,propane,praying_room,electric_charging
nXMdilmvS-ulWPWJzpJLLw,АГЗС,АЗС,"Ташкентская область, Юкарычирчикский район, сельский сход граждан Тинчлик","41.224257, 69.401245",Нет информации,https://yandex.uz/maps/-/CDTPIXLY,false,,,,,,,Нет информации,true,,false,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.4.2024,true,true,true,true,
7PqOy.CQTAqIvVNNG-5YXA,АГЗС,АЗС,"Ташкент, Новый Ташкентский район","41.208187, 69.403486",Нет информации,https://yandex.uz/maps/-/CDTPU21P,,,,,,,true,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.4.2024,true,true,true,,
UJ3yI.5LTrqBBboZJHT32w,АЗС,АЗС,"Ташкент, Новый Ташкентский район","41.186228, 69.402798",Нет информации,https://yandex.uz/maps/-/CDTPY67g,true,,,,,,false,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.4.2024,,,,,
RIxhmp6.TfCrnXQD7E8C-Q,Shosh Gaz,АЗС,"Ташкент, Новый Ташкентский район","41.182476, 69.406908",+998 98 500 79 99,https://yandex.uz/maps/-/CDTPYT5W,,,,,,,,24/7,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.4.2024,true,false,true,,
AAr.0UohSd-abHvNzd64AQ,МЕТАН,АЗС,"Ташкентская область, Юкарычирчикский район","41.147963, 69.430281",Нет информации,https://yandex.uz/maps/-/CDTP4DIN,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.4.2024,true,true,false,,
uU8jQX0QSh6c9INeuw-1JQ,АЗС,АЗС,"Ташкентская область, Юкарычирчикский район","41.122796, 69.441299",Нет информации,https://yandex.uz/maps/-/CDTPaYLS,true,,,true,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.4.2024,,,,,
Cf2lcSiHQd2e3cVPh27Dog,АЗС,АЗС,"Ташкентская область, Уртачирчикский район","41.120495, 69.440797",Нет информации,https://yandex.uz/maps/-/CDTPaX1m,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.4.2024,,,,,
yIJq-.1zSnOtEOoWRFFVLw,АЗС,АЗС,"Ташкентская область, Ахангаранский район","41.086268, 69.467448",Нет информации,https://yandex.uz/maps/-/CDTPeDOK,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.4.2024,true,,,,
hVUQu9vKSra4WnLov33tNA,АГНКС,АЗС,"Ташкентская область, Ахангаранский район","41.077671, 69.470855",Нет информации,https://yandex.uz/maps/-/CDTPiFIx,,,,,,,,Нет информации,true,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.4.2024,true,,,,
RevegSQ6Qoylg5K.Mh9eVA,АЗС,АЗС,"Ташкентская область, Ахангаранский район","41.086756, 69.466213",Нет информации,https://yandex.uz/maps/-/CDTPiTyM,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.4.2024,,,,,
BhsveYrrT1-2a2M2cE0C4Q,Шаффоф,АЗС,"Ташкентская область, Ахангаранский район","40.993581, 69.532349",Нет информации,https://yandex.uz/maps/-/CDTPmH6X,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.4.2024,,,,,
IvjiRjdCRWKCOSBBgP9NJA,UNG Petro,АЗС,"Ташкентская область, Ахангаранский район","40.991629, 69.531874",Нет информации,https://yandex.uz/maps/-/CDTPqIn-,true,true,,true,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.4.2024,,,,,
mPwBfig0SiO5ZvFVMnzbHQ,АЗС,АЗС,"Ташкентская область, Ахангаранский район","40.941634, 69.582520",Нет информации,https://yandex.uz/maps/-/CDTPqOIx,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.4.2024,,,,,
jkb0r.9lSU-NywBHaByBFw,АГНКС Метан,АЗС,"Ташкентская область, Ахангаранский район","40.935443, 69.590458",Нет информации,https://yandex.uz/maps/-/CDTPqD5p,true,,,,,,,24/7 (вт - выходной),true,,true,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.4.2024,true,true,false,,
kfjULbnsSkmIjUaWlkikeA,АЗС Metan,АЗС,"Ташкентская область, Ахангаранский район","40.932294, 69.593387",Нет информации,https://yandex.uz/maps/-/CDXYAPjJ,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.4.2024,,,,,
O1g5Nr.-QMy0sUNT9NPjSA,AS servis,АЗС,"Ташкентская область, Ахангаранский район, населённый пункт Нугайкурган","40.910466, 69.617608",Нет информации,https://yandex.uz/maps/-/CDXYEA0A,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.7.2024,,,,,
BIwSjetgRv6-wxES6csxbw,АЗС,АЗС,"Ташкентская область, Ахангаран","40.900517, 69.655736",Нет информации,https://yandex.uz/maps/-/CDXYEMiX,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.7.2024,,,,,
yMrKhLeTQzu2qr9cm3uQtQ,АЗС,АЗС,"Ташкентская область, Ахангаран","40.898856, 69.660346",Нет информации,https://yandex.uz/maps/-/CDXYEMjy,true,,,,,,,24/7,true,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.7.2024,true,,true,,
Cd7249WMRSWcbBroBA1Isg,"АГНС, АГЗС, АГНКС",АЗС,"Ташкентская область, Ахангаранский район","40.972829, 69.544805",Нет информации,https://yandex.uz/maps/-/CDXYEFzR,,,,,,,true,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.7.2024,true,,,,
rYZmBd.ITl-ll90AzclQ0Q,"АГНС, АГЗС, АГНКС",АЗС,"Ташкентская область, Ахангаранский район","40.956714, 69.562079",Нет информации,https://yandex.uz/maps/-/CDXYEJyN,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.7.2024,true,,,,
57.985yKS1i1Kz8tMvbBSQ,Метан,АЗС,"Ташкентская область, Ахангаранский район","40.942159, 69.579012",Нет информации,https://yandex.uz/maps/-/CDXYEVnu,,,,,,,,Нет информации,true,,true,true,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.7.2024,true,true,,,
nOTzoPI3TACkcxhVaARgiA,АГНКС Метан,АЗС,"Ташкентская область, Ахангаранский район","40.941360, 69.583024",+998 99 855 00 45,https://yandex.uz/maps/-/CDXYEZIp,,,,,,,,24/7,true,,true,true,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.7.2024,true,true,,,
XixAKE8lRn66Y.xKWkTOKw,АГНКС Метан,АЗС,"Ташкентская область, Ахангаранский район","40.929159, 69.594458",Нет информации,https://yandex.uz/maps/-/CDXYEGp9,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.7.2024,true,true,,,
Mp2vKXeoRWWTGVyMNiPs.w,Метан,АЗС,"Ташкентская область, Ахангаранский район","40.917878, 69.600401",Нет информации,https://yandex.uz/maps/-/CDXYEOJK,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.7.2024,true,true,,,
a.5otFzVYR-2x2K7xNtt2UA,Davr Oil,АЗС,"Ташкентская область, Ахангаран","40.899553, 69.657207",+998 98 302 56 56,https://yandex.uz/maps/-/CDXYES7w,true,true,true,,,,,24/7,true,,true,true,,,true,ozhiganovavar@gmail.com,Ozhiganova Varya,10.7.2024,true,,,true,
L5RCpNGuT3-c8JbWoVlHlA,АГЗС,АЗС,"Ташкентская область, Ахангаран","40.898518, 69.662760",Нет информации,https://yandex.uz/maps/-/CDXYEH4i,,,,,,,,06:00 – 17:00,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.7.2024,true,,,,
zSKngPTnTJ2MpLZTRSDjdA,АГЗС,АЗС,"Ташкентская область, Ахангаран","40.898842, 69.669263",Нет информации,https://yandex.uz/maps/-/CDXYELjA,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.7.2024,true,,,,
M-bqR3jITbec8rOvBGQewQ,МПО,АЗС,"Ташкентская область, Ахангаранский район, городской посёлок Каракитай","40.898497, 69.673625",+998 95 177 70 59,https://yandex.uz/maps/-/CDXYEL9h,,,,,,,,Нет информации,true,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.7.2024,true,,,true,
a-EfwTlyfQsiZtb6HT4TRPQ,АГЗС,АЗС,"Ташкентская область, Ахангаранский район, городской посёлок Янарык","40.909778, 69.786441",Нет информации,https://yandex.uz/maps/-/CDXYE2lo,,,,,,,,Нет информации,true,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.7.2024,true,,,,
wIk2IGFkSFC1dSU36K4ZUA,АЗС,АЗС,"Ташкентская область, Ахангаранский район","40.910295, 69.813400",Нет информации,https://yandex.uz/maps/-/CDXYEXlA,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.7.2024,,,,,
GrGa7NeCRUGUdI-PIZsK3w,АГЗС,АЗС,"Ташкентская область, Ангрен, городской посёлок Нурабад","40.907834, 69.793271",Нет информации,https://yandex.uz/maps/-/CDXYE2Oo,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.7.2024,true,,,,
a-KyXA1pgRce4Lnpih6H.xg,АЗС,АЗС,"Ташкентская область, Ахангаранский район","40.929894, 69.868454",Нет информации,https://yandex.uz/maps/-/CDXYIEZt,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.7.2024,,,,,
HKoHtXuLSZGxsbQjCgXFJw,АЗС,АЗС,"Ташкентская область, Ахангаранский район","40.932262, 69.881470",Нет информации,https://yandex.uz/maps/-/CDXYIELc,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.7.2024,,,,,
fIwLgmExRua1zAlD-Ip-OQ,"АГНС, АГЗС, АГНКС",АЗС,"Ташкентская область, Ахангаранский район, село Увак","40.967539, 69.959981",Нет информации,https://yandex.uz/maps/-/CDXYII-2,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.7.2024,true,true,,,
vY-R8y8hQ0yK4.xLyIqWTA,АЗС,АЗС,"Ташкентская область, Ахангаранский район, село Увак","40.968278, 69.974148",Нет информации,https://yandex.uz/maps/-/CDXYIMiD,true,true,,true,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.7.2024,false,,,,
G-WIqo3bRZWf7ALCfO-f5A,АЗС,АЗС,"Ташкентская область, Ангрен","40.985152, 70.027047",Нет информации,https://yandex.uz/maps/-/CDXD52NY,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,,,,,
roqH2im3Qvm43Jy9OFuDRQ,АЗС,АЗС,"Ташкентская область, Ангрен","40.985325, 70.027653",Нет информации,https://yandex.uz/maps/-/CDXDBJ2a,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,,,,,
21ntUs-7TeCtqtAGAI5fiQ,АЗС,АЗС,"Ташкентская область, Ангрен","40.987330, 70.027806",Нет информации,https://yandex.uz/maps/-/CDXDBHKd,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,,,,,
Z6uCOcs1TXmkqW4Y94-aeg,Kosko oil,АЗС,"Ташкентская область, Ангрен","40.987051, 70.035940",Нет информации,https://yandex.uz/maps/-/CDXDFM7F,true,,,,,,,Нет информации,true,,true,true,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,,,,,
8HQrkWHeTeqO2i4zCmaoIA,АЗС,АЗС,"Ташкентская область, Ангрен","40.989405, 70.040906",Нет информации,https://yandex.uz/maps/-/CDXDJQ6m,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,,,,,
RE-zCKOUQ5-zo2K.4rbayg,UNG Petro,АЗС,"Ташкентская область, Ангрен","40.993089, 70.052421",+998 559 00 29 75,https://yandex.uz/maps/-/CDXDNC7U,true,true,,true,,,true,24/7,true,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,,,,,
a-Z-zLSQ8SkqCmH3h0HNLzg,АЗС,АЗС,"Ташкентская область, Ангрен","40.996946, 70.069057",Нет информации,https://yandex.uz/maps/-/CDXDRCIR,true,,,,true,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,,,,,
BzUgac95Q.ywCGEQS0wzNA,АЗС,АЗС,"Ташкентская область, Ангрен","41.006963, 70.091622",Нет информации,https://yandex.uz/maps/-/CDXDRXPo,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,,,,,
dFIHRPkaRemfYocC6gHmnA,АЗС,АЗС,"Ташкентская область, Ангрен","41.009600, 70.098498",Нет информации,https://yandex.uz/maps/-/CDXDV4ic,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,,,,,
0U3fHZBFSsSyFNiSQ1BiYQ,АЗС,АЗС,"Ташкентская область, Ангрен","41.009959, 70.098253",Нет информации,https://yandex.uz/maps/-/CDXDVR~e,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,,,,,
cQUf0jjuTSmNj82cZBPIXw,АГЗС,АЗС,"Ташкентская область, Ангрен","40.979052, 70.046856",Нет информации,https://yandex.uz/maps/-/CDXDrPo4,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,true,,,,
E7gTG9UDT1WyA5tmg7yN2w,АГЗС,АЗС,"Ташкентская область, Ангрен","40.992781, 70.051578",Нет информации,https://yandex.uz/maps/-/CDXDZYyh,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,true,,true,,
1XUzGxKeTPSAf9054xWUKg,Метан газ,АЗС,"Ташкентская область, Ангрен","41.010052, 70.100672",Нет информации,https://yandex.uz/maps/-/CDXD60kp,,,,,,,,24/7,true,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,true,true,,,
bgXrI5UfTyOTkSKkrfTzZw,АЗС,АЗС,"Ташкентская область, Ангрен","40.999852, 70.050047",Нет информации,https://yandex.uz/maps/-/CDXDv-6T,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,,,,,
ZnNHd38yQruXPA-AJc9MTg,АЗС,АЗС,"Ташкентская область, Ангрен","41.026597, 70.074362",Нет информации,https://yandex.uz/maps/-/CDXDzSo3,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,,,,,
SorYw-gvTEif6vVem09C8g,АЗС,АЗС,"Ташкентская область, Ангрен","40.996883, 70.096575",+998 97 885 88 48,https://yandex.uz/maps/-/CDXDzTKD,true,,,true,,,true,24/7,true,,true,true,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,,,,,
SDLhNN2fS-y07125uQG4vg,Global Gas,АЗС,"ул. Алишера Навои, 1","40.995491, 70.098081",+998 71 256 08 39,https://yandex.uz/maps/-/CDXD7B5C,true,,,,,,,24/7,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,,,,,
F6J41vd.SoS1FJuqxI7Few,Янгийўл Метан Газ,АЗС,"Ташкентская область, Ангрен, махаллинский сход граждан 8-Март","41.026183, 70.136130",Нет информации,https://yandex.uz/maps/-/CDXHAAy8,,,,,,,,24/7,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,true,true,,,
IeBcd9DmQ7mpiHrdfr6xbg,АЗС,АЗС,"Ташкентская область, Ангрен","41.031135, 70.139865",Нет информации,https://yandex.uz/maps/-/CDXHAYnT,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,,,,,
caB0.4w5Rt6lKhly4YG2kA,Metan,АЗС,"Наманганская область, Папский район","40.937713, 70.694376",Нет информации,https://yandex.uz/maps/-/CDXHEMIS,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,true,true,,,
Wiep3731RYuBXf1Z12WOpg,АЗС,АЗС,"Наманганская область, Папский район, населённый пункт Кушминор","40.893759, 70.770699",Нет информации,https://yandex.uz/maps/-/CDXHE6Nm,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,,,,,
nO32s.LaSUadR5JcuRVhmw,AYoQSh,АЗС,"Наманганская область, Папский район, населённый пункт Кушминор","40.885705, 70.777001",Нет информации,https://yandex.uz/maps/-/CDXHEOlu,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,,,,,
5q.62J3-QCCw79MHdKfmyw,Metan CNG Station,АЗС,"Наманганская область, Папский район","40.870896, 70.781064",Нет информации,https://yandex.uz/maps/-/CDXHIQZz,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,true,true,,,
gauYVxv4Qu2CCt7bHK-E7A,Метан,АЗС,"Наманганская область, Папский район","40.866934, 70.784386",Нет информации,https://yandex.uz/maps/-/CDXHI4LX,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,true,true,,,
IsYXOvZlR7Wsnxjj1EXV2g,Метан,АЗС,"Наманганская область, Папский район","40.863249, 70.786626",Нет информации,https://yandex.uz/maps/-/CDXHIWZx,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.14.2024,true,true,,,
QSCytqq0T9ewfdyU4DH9Qg,Метан,АЗС,"Наманганская область, Папский район","40.859910, 70.786186",Нет информации,https://yandex.uz/maps/-/CDXHI8N6,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.15.2024,true,true,,,
QJ87di4xSSO93L.faQEqWA,АЗС,АЗС,"Наманганская область, Папский район","40.817909, 70.797732",Нет информации,https://yandex.uz/maps/-/CDXHMAZ-,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.15.2024,,,,,
4fwrGFmjTQ2fUR13T3EEgw,Метан Сервис,АЗС,"Наманганская область, Папский район","40.787687, 70.811295",Нет информации,https://yandex.uz/maps/-/CDXHMQld,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.15.2024,true,true,,,
wwZGOuIuT7Ks2pMvyzUhuA,"АГНС, АГЗС, АГНКС",АЗС,"Наманганская область, Папский район","40.822903, 70.795635",Нет информации,https://yandex.uz/maps/-/CDXHMSkb,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.15.2024,true,,,,
WbuPc5n3QhaZ.DRfS60Oig,АГЗС,АЗС,"Наманганская область, Папский район","40.806432, 70.800854",Нет информации,https://yandex.uz/maps/-/CDXHMPiL,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.15.2024,true,,,,
I-NOtFBCThOqMq.CFtk3pw,Метан,АЗС,"Наманганская область, Папский район","40.785087, 70.811394",Нет информации,https://yandex.uz/maps/-/CDXHQVPO,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.15.2024,true,true,,,
00n40CQoT5mMSY2zgmeTLg,АГЗС,АЗС,"Наманганская область, Папский район","40.777487, 70.814478",Нет информации,https://yandex.uz/maps/-/CDXHQGJO,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.15.2024,true,,,,
3JHBSrO-S1Wwo2xWxPimmg,АЗС,АЗС,"Наманганская область, Папский район","40.771656, 70.814769",Нет информации,https://yandex.uz/maps/-/CDXH40nA,true,,,,,,,24/7,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.15.2024,true,,,,
1gSaUdieQrmHBAIYYdCRog,АЗС,АЗС,"Ферганская область, Дангаринский район","40.723337, 70.834056",Нет информации,https://yandex.uz/maps/-/CDXHaI6K,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.15.2024,,,,,
FnI5KjooT5qBz5GaIeRwMA,Пропан,АЗС,А373,"40.729384, 70.942285",Нет информации,https://yandex.uz/maps/-/CDXH54~X,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.15.2024,true,,true,,
xns3ymXLQou1qJyvP0U.nw,АГЗС,АЗС,"Наманганская область, Папский район","40.751867, 70.869590",Нет информации,https://yandex.uz/maps/-/CDXH5Szd,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.15.2024,true,,,,
rufFNSYbRgeMAJiCSH.sNQ,АГЗС,АЗС,"Ферганская область, Дангаринский район","40.723290, 70.834068",Нет информации,https://yandex.uz/maps/-/CDXHBIZC,,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.15.2024,true,,,,
ZG1MhKRrTqOU4Sfah0mfnQ,АГНКС Метан,АЗС,"Ферганская область, Дангаринский район, населённый пункт Ходжакишлак","40.725317, 70.927414",Нет информации,https://yandex.uz/maps/-/CDXHR0pf,,,,,,,,24/7,true,,,true,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.15.2024,true,true,,,
HWYA2Fh2R0qhn9s0lZHf7g,АГНКС,АЗС,"Ферганская область, Дангаринский район","40.724106, 70.948320",+998 339 23 19 19,https://yandex.uz/maps/-/CDXHVN35,,,,,,,,24/7,true,,true,true,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.15.2024,true,true,,,
wyCnBRkLTH6A4UY7H0PfZw,АГЗС Пропан,АЗС,"Ферганская область, Бувайдинский район","40.647625, 71.171446",Нет информации,https://yandex.uz/maps/-/CDXHZU2e,,,,,,,,24/7,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.15.2024,true,,true,,
WG-d9NhaTS2oMo54VPONmA,АЗС,АЗС,"Ферганская область, Алтыарыкский район","40.588171, 71.401898",Нет информации,https://yandex.uz/maps/-/CDXHZ--T,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.15.2024,,,,,
H.r1AEn7R76q9stkenMLow,Сабо,АЗС,"Маргилан, городское поселок. Янги Маргилан","40.428484, 71.696245",+998 93 372 14 84,https://yandex.uz/maps/-/CDXH6Nkl,,,,,,,,24/7,true,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.15.2024,,,,,
xsxTOYlmT5aZd-D0kKj2XA,Marg'ilon AS,АЗС,"Маргилан, ул. Янги Хаёт, 7","40.426716, 71.703739",Нет информации,https://yandex.uz/maps/-/CDXH6HoY,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.15.2024,,,,,
mGDUCG4YQv-ZJSEDUqeRvA,Арман,АЗС,"Ферганская область, Маргилан, городской посёлок Янги Маргилан","40.420739, 71.716343",Нет информации,https://yandex.uz/maps/-/CDXHbQNM,true,,,,,,,Нет информации,,,,,,,,ozhiganovavar@gmail.com,Ozhiganova Varya,10.15.2024,true,true,,,
